Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Testla Nova Group,South America,IT,Morgan Nguyen,morgan.nguyen@testla.com,CVE-2025-3155,4.4,This is a simulated description of vulnerability number 0.,Pending,No,5,2025-02-21,41,Long Exposure Duration Variant 1 Variant 3,Duplicate Entry,Low,Extreme
Xanatos Enterprises East,North America,Operations,Jamie Kim,,CVE-2025-3156,5.7,This is a simulated description of vulnerability number 14.,Pending,Unknown,30,2025-03-26,8,Missing Exposure Variant 3,Missing Field,Medium,Moderate
Virtucon Intl,Middle East,Operations,Alex Brown,alex.brown@virtucon.com,CVE-2025-30110,5.9,This is a simulated description of vulnerability number 10.,Pending,No,30,2025-02-22,40,Multi-Region Vendor,Escalation Required,Critical,Advanced
Pied Piper Solutions,Middle East,HR,Skyler Lee,skyler.lee@pied.com,CVE-2025-3119,7.3,This is a simulated description of vulnerability number 12.,Pending,No,20,2025-03-23,11,Late Patch Deployment Variant 3 Variant 2,Timing Issue,Critical,Extreme
SkyTech Dynamics,South America,HR,Taylor Garcia,taylor.garcia@skytech.com,CVE-2025-3163,5.2,This is a simulated description of vulnerability number 4.,Yes,Yes,20,2025-02-27,35,No CVSS Score,Special Context,High,Moderate
Chronos Labs Intl,Asia,Operations,Taylor Martinez,taylor.martinez@chronos.com,CVE-2025-3141,7.1,This is a simulated description of vulnerability number 1.,,Yes,5,2025-02-28,34,Cloud-Based Exposure,Missing Field,Medium,Basic
NovaCore,Asia,IT,Jamie Smith,jamie.smith@novacore.com,CVE-2025-3108,8.9,This is a simulated description of vulnerability number 9.,No,Yes,30,2025-02-27,35,Threat Actor Mention,Duplicate Entry,Critical,Advanced
Xanatos Enterprises Intl,Asia,IT,Jordan Patel,jordan.patel@xanatos.com,CVE-2025-3166,6.2,This is a simulated description of vulnerability number 19.,Pending,Unknown,5,2025-02-18,44,Conflicting Data Sources,Partial Data,Critical,Extreme
Militech Group,Middle East,Operations,Skyler Wilson,skyler.wilson@militech.com,CVE-2025-3126,6.2,This is a simulated description of vulnerability number 0.,Yes,Yes,10,2025-03-22,12,Formatting Chaos Variant 1,Duplicate Entry,Critical,Basic
Cyberdyne Systems East,Europe,Finance,Devon Wilson,devon.wilson@cyberdyne.com,CVE-2025-3120,7.0,This is a simulated description of vulnerability number 1.,Yes,Yes,20,2025-03-27,7,Wrong Contact Name,Timing Issue,Critical,Extreme
Crimson Digital,Europe,IT,Riley Kim,riley.kim@crimson.com,CVE-2025-3123,4.5,This is a simulated description of vulnerability number 8.,Pending,,30,2025-03-13,21,Missing Exposure Variant 3,Missing Field,Medium,Moderate
