Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Militech Group,Middle East,Operations,Skyler Wilson,skyler.wilson@militech.com,CVE-2025-3146,8.2,This is a simulated description of vulnerability number 13.,Pending,Yes,15,2025-04-01,2,Missing Contact Info Variant 1,Escalation Required,High,Basic
Nakatomi Trading West,Middle East,Compliance,Jamie Garcia,jamie.garcia@nakatomi.com,CVE-2025-3164,6.7,This is a simulated description of vulnerability number 10.,Pending,Unknown,10,2025-03-15,19,AI Flagged CVE,Timing Issue,Low,Moderate
Umbrella Inc Holdings,South America,Finance,Jamie Lee,jamie.lee@umbrella.com,CVE-2025-3173,8.0,This is a simulated description of vulnerability number 6.,Yes,Yes,5,2025-03-27,7,Log Injection Detected,Normal,Low,Basic
Globex Corporation Services,Europe,Operations,Jordan Smith,jordan.smith@globex.com,CVE-2025-3163,5.2,This is a simulated description of vulnerability number 4.,Yes,Unknown,30,2025-03-03,31,Outdated Info Variant 1,Normal,High,Basic
Pied Piper Solutions,Middle East,HR,Skyler Lee,skyler.lee@pied.com,CVE-2025-3147,5.8,This is a simulated description of vulnerability number 14.,No,Unknown,10,2025-03-25,9,Abandoned System,Partial Data,Critical,Extreme
Blue Sun Corporation West,Europe,HR,Skyler Lee,skyler.lee@blue.com,CVE-2025-30113,8.3,This is a simulated description of vulnerability number 13.,Yes,Unknown,10,2025-03-28,6,Abnormal Port Access Variant 1,Normal,High,Advanced
Genco Pura Olive Oil Solutions,Asia,IT,Devon Garcia,devon.garcia@genco.com,CVE-2025-3101,6.1,This is a simulated description of vulnerability number 4.,Yes,Unknown,20,2025-03-23,11,Formatting Chaos Variant 2,Normal,Medium,Advanced
Virtucon Solutions,Europe,IT,Taylor Davis,taylor.davis@virtucon.com,CVE-2025-3142,6.0,This is a simulated description of vulnerability number 12.,No,Yes,5,2025-03-05,29,Risk Spike Detected,Possible Noise,Low,Basic
NeoNet LLC,Asia,Finance,Taylor Smith,taylor.smith@neonet.com,CVE-2025-3113,8.5,This is a simulated description of vulnerability number 15.,No,Unknown,15,2025-03-15,19,Region-Specific Spike,Timing Issue,Low,Advanced
Tyrell Corporation Ltd,Middle East,IT,Taylor Kim,taylor.kim@tyrell.com,CVE-2025-30119,6.4,This is a simulated description of vulnerability number 19.,No,No,20,2025-03-23,11,Email Bounce Variant 1 Variant 1 Variant 2,Escalation Required,Critical,Basic
Octan Corp Ltd,South America,Finance,Devon Martinez,devon.martinez@octan.com,CVE-2025-3179,5.6,This is a simulated description of vulnerability number 14.,No,,10,2025-02-18,44,Email Bounce Variant 1,Missing Field,Medium,Advanced
Militech,North America,Compliance,Morgan Garcia,morgan.garcia@militech.com,CVE-2025-30103,5.4,This is a simulated description of vulnerability number 3.,Yes,Yes,10,2025-02-24,38,Missing Contact Info,Partial Data,High,Moderate
Wonka Industries East,Europe,HR,Taylor Patel,taylor.patel@wonka.com,CVE-2025-3154,6.8,This is a simulated description of vulnerability number 12.,Pending,No,20,2025-03-01,33,Email Bounce,Duplicate Entry,Medium,Extreme
Cyberdyne Systems Solutions,Middle East,IT,Quinn Martinez,quinn.martinez@cyberdyne.com,CVE-2025-30117,8.2,This is a simulated description of vulnerability number 17.,No,Unknown,10,2025-02-18,44,Conflicting Data Sources,Partial Data,Critical,Extreme
Solaris Group West,South America,Operations,Morgan Lee,morgan.lee@solaris.com,CVE-2025-3125,9.6,This is a simulated description of vulnerability number 7.,Yes,Yes,20,2025-03-31,3,Risk Spike Detected Variant 3,Escalation Required,Low,Basic
Cyberlife,Asia,Operations,Skyler Kim,skyler.kim@cyberlife.com,CVE-2025-3145,6.7,This is a simulated description of vulnerability number 4.,No,Yes,10,2025-03-16,18,Conflicting Data Sources,Partial Data,Critical,Extreme
Vehement Capital Partners Holdings,Europe,Operations,Taylor Davis,taylor.davis@vehement.com,CVE-2025-3170,7.5,This is a simulated description of vulnerability number 17.,No,Yes,20,2025-03-22,12,Contact Loop,Normal,High,Advanced
Abstergo West,Middle East,IT,Alex Nguyen,alex.nguyen@abstergo.com,CVE-2025-3147,5.8,This is a simulated description of vulnerability number 14.,No,No,30,2025-03-11,23,Inactive Vendor Variant 2 Variant 3,Duplicate Entry,High,Advanced
Pied Piper Group,North America,Operations,Taylor Garcia,taylor.garcia@pied.com,CVE-2025-3131,6.9,This is a simulated description of vulnerability number 11.,Yes,Yes,30,2025-03-31,3,Emerging Risk,Normal,Critical,Moderate
Soylent Corp West,Middle East,Finance,Devon Davis,devon.davis@soylent.com,CVE-2025-3162,5.2,This is a simulated description of vulnerability number 10.,Yes,Unknown,15,2025-03-15,19,Outdated Info,Possible Noise,Critical,Basic
Vault-Tec LLC,North America,HR,Casey Smith,casey.smith@vault-tec.com,CVE-2025-30109,9.2,This is a simulated description of vulnerability number 9.,Pending,Unknown,60,2025-03-11,23,Manual Verification Needed Variant 2,Special Context,Medium,Basic
