Vendor_Name,Region,LOB_Assigned,Contact_Name,Contact_Email,Vuln_ID,CVSS_Score,CVE_Description,Exposure_Confirmed,Patch_Available,MTTR_Estimate,Last_Contact_Date,Days_Since_Last_Contact,Scenario_Type,Inject_Type,Risk_Level,Inject_Complexity
Planet Express Intl,Asia,Finance,Alex Kim,alex.kim@planet.com,CVE-2025-30118,7.3,This is a simulated description of vulnerability number 18.,No,Unknown,5,25/02/2025,37,Multi-Region Vendor Variant 1,Format Error,Critical,Extreme
Initech Services,South America,IT,Casey Wilson,casey.wilson@initech.com,CVE-2025-3171,8.6,This is a simulated description of vulnerability number 5.,No,No,15,19/03/2025,15,Long Exposure Duration Variant 1,Format Error,Medium,Moderate
Pied Piper Solutions,Middle East,HR,Skyler Lee,skyler.lee@pied.com,CVE-2025-3121,9.1,This is a simulated description of vulnerability number 7.,Pending,Yes,30,2025-03-02,32,Missing Contact Info Variant 1,Escalation Required,High,Basic
Virtucon Solutions,Europe,IT,Taylor Davis,taylor.davis@virtucon.com,CVE-2025-3179,5.6,This is a simulated description of vulnerability number 14.,Pending,Unknown,60,28/02/2025,34,Unknown Patch Status,Format Error,Low,Basic
Cyberlife Group,South America,IT,Skyler Nguyen,skyler.nguyen@cyberlife.com,CVE-2025-30102,7.6,This is a simulated description of vulnerability number 2.,No,Yes,45,2025-03-22,12,Backdoor Vendor,Special Context,Critical,Advanced
Virtucon Solutions,Europe,IT,Taylor Davis,taylor.davis@virtucon.com,CVE-2025-3129,5.5,This is a simulated description of vulnerability number 3.,Yes,No,5,2025-03-03,31,Formatting Chaos Variant 1,Duplicate Entry,Critical,Basic
Chronos Labs Intl,Asia,Operations,Taylor Martinez,taylor.martinez@chronos.com,CVE-2025-3109,7.9,This is a simulated description of vulnerability number 15.,Pending,Unknown,45,2025-03-26,8,Red Team Simulation Variant 1,Possible Noise,High,Basic
Abstergo Holdings,South America,Finance,Morgan Nguyen,morgan.nguyen@abstergo.com,CVE-2025-3100,8.4,This is a simulated description of vulnerability number 7.,No,Unknown,30,2025-02-22,40,Region-Specific Spike,Timing Issue,Low,Advanced
NovaCore,Asia,IT,Jamie Smith,jamie.smith@novacore.com,CVE-2025-3131,6.9,This is a simulated description of vulnerability number 11.,Pending,Yes,60,2025-03-16,18,Non-English Report,Special Context,High,Moderate
Globex Corporation Solutions,Asia,HR,Alex Davis,alex.davis@globex.com,CVE-2025-30113,8.3,This is a simulated description of vulnerability number 13.,Yes,Yes,10,2025-03-01,33,No CVSS Score,Special Context,High,Moderate
NovaCore Group,Middle East,Operations,Alex Martinez,alex.martinez@novacore.com,CVE-2025-3178,6.6,This is a simulated description of vulnerability number 12.,Pending,No,5,2025-03-30,4,Long Exposure Duration Variant 1 Variant 3,Duplicate Entry,Low,Extreme
Neon Circle,South America,Operations,Alex Davis,alex.davis@neon.com,CVE-2025-30105,9.6,This is a simulated description of vulnerability number 5.,No,No,20,2025-02-28,34,Email Bounce Variant 1 Variant 1 Variant 2,Escalation Required,Critical,Basic
Wonka Industries Ltd,North America,HR,Jordan Smith,jordan.smith@wonka.com,CVE-2025-3178,6.6,This is a simulated description of vulnerability number 12.,Yes,Yes,15,2025-03-14,20,Abnormal Port Access Variant 2,Special Context,Medium,Extreme
Hooli Ltd,Europe,Operations,Casey Lee,casey.lee@hooli.com,CVE-2025-3177,6.0,This is a simulated description of vulnerability number 14.,Pending,Yes,30,2025-03-15,19,Threat Actor Mention,Duplicate Entry,Critical,Advanced
Crimson Digital,Europe,IT,Riley Kim,riley.kim@crimson.com,CVE-2025-3116,7.8,This is a simulated description of vulnerability number 18.,No,Yes,60,2025-03-18,16,Fake Positive,Timing Issue,Low,Advanced
